case,ncores,p3_original_status,p3_original_makespan,p3_original_best_candidate_source,p3_original_candidate_id,p3_original_candidate_family,p3_original_source_plan,p3_original_plan_hash,p3_original_added_copy_bytes,p3_original_cache_hit_rate,p3_original_evaluator_calls,p2_baseline_status,p2_baseline_makespan,p2_baseline_best_candidate_source,p2_baseline_candidate_id,p2_baseline_candidate_family,p2_baseline_source_plan,p2_baseline_plan_hash,p2_baseline_added_copy_bytes,p2_baseline_cache_hit_rate,p2_baseline_evaluator_calls,p2_to_p3_warm_status,p2_to_p3_warm_makespan,p2_to_p3_warm_best_candidate_source,p2_to_p3_warm_candidate_id,p2_to_p3_warm_candidate_family,p2_to_p3_warm_source_plan,p2_to_p3_warm_plan_hash,p2_to_p3_warm_added_copy_bytes,p2_to_p3_warm_cache_hit_rate,p2_to_p3_warm_evaluator_calls,p2_to_p3_mixed_status,p2_to_p3_mixed_makespan,p2_to_p3_mixed_best_candidate_source,p2_to_p3_mixed_candidate_id,p2_to_p3_mixed_candidate_family,p2_to_p3_mixed_source_plan,p2_to_p3_mixed_plan_hash,p2_to_p3_mixed_added_copy_bytes,p2_to_p3_mixed_cache_hit_rate,p2_to_p3_mixed_evaluator_calls,p2_warm_over_p3_original,p2_warm_over_p2_baseline,mixed_over_p2_warm,warm_not_worse_than_p2_baseline,mixed_not_worse_than_p2_baseline
case_014,2,evaluated,13321252,p3_original_history,case_014_n2_p3_original_r02-full-20260923,p3_original_history,results/schedules/case_014_p3_n2_best.json,2d601355a47d2832dd055c6f8668d3e2261d5e9c5864840de119d1b8494a92ec,75050400,0.1852950501309863,,evaluated,10406763,current_co_location_critical_list_g4,case_014_p2_n2_r02-full-20260923_0002_6677ba95,current_co_location_critical_list_g4,,2307e1eea104537350d8cee74ae90b553bb53688dc68f6179c75afbd048838c1,68715936,,3,evaluated,10398454,problem2_validated_warm_start,case_014_p3_n2_r02-full-20260923_0001_e52b9d65,problem2_validated_warm_start,results_round2/r02_problem3_warm_start/r02-full-20260923/schedules/case_014_p2_n2_r02-full-20260923_best_validated.json,2307e1eea104537350d8cee74ae90b553bb53688dc68f6179c75afbd048838c1,68715936,0.19067339867314706,1,evaluated,10353465,current_fifo_cache_aware_list_g4,case_014_p3_n2_r02-full-20260923_0002_876b4131,current_fifo_cache_aware_list_g4,,343e7470cb455e3fb6acabc82eb70c0d9b8c5b0c5841b89f5e4dd2326ec04bda,69841508,0.19894484277092145,2,0.7805913438166322,0.9992015768976386,0.9956734914632502,True,True
case_014,4,evaluated,11145703,p3_original_history,case_014_n4_p3_original_r02-full-20260923,p3_original_history,results/schedules/case_014_p3_n4_best.json,f2e3c939cbdfb74566068af214331a3b396d9d5722d73d57c93cd22bc219ac83,70946208,0.23394694855856046,,evaluated,6395433,current_co_location_critical_list_g8,case_014_p2_n4_r02-full-20260923_0002_06a58115,current_co_location_critical_list_g8,,fe10c983fde4f92bf6c414fffd753dfa63a49b7b533c4162ed5af49b94d66dd3,65137984,,2,evaluated,6372134,problem2_validated_warm_start,case_014_p3_n4_r02-full-20260923_0001_d3eacad7,problem2_validated_warm_start,results_round2/r02_problem3_warm_start/r02-full-20260923/schedules/case_014_p2_n4_r02-full-20260923_best_validated.json,fe10c983fde4f92bf6c414fffd753dfa63a49b7b533c4162ed5af49b94d66dd3,65137984,0.22387007892794913,1,evaluated,6372134,problem2_validated_warm_start,case_014_p3_n4_r02-full-20260923_0001_76ef8674,problem2_validated_warm_start,results_round2/r02_problem3_warm_start/r02-full-20260923/schedules/case_014_p2_n4_r02-full-20260923_best_validated.json,fe10c983fde4f92bf6c414fffd753dfa63a49b7b533c4162ed5af49b94d66dd3,65137984,0.22387007892794913,2,0.571712165665997,0.9963569315791441,1.0,True,True
case_014,5,evaluated,7099894,p3_original_history,case_014_n5_p3_original_r02-full-20260923,p3_original_history,results/schedules/case_014_p3_n5_best.json,c19ac3e348ff5798b984ffbc2ab42b0e4f3a22e90ae3724e60388512ef6d8d04,68268668,0.17371642548697677,,evaluated,6751802,current_co_location_critical_list_g10,case_014_p2_n5_r02-full-20260923_0002_14acaac3,current_co_location_critical_list_g10,,89f61e1684d1d8d0f2a94cf54dc37a94d4c67cf83816665a2353bdf35584b426,63790912,,2,evaluated,6715169,problem2_validated_warm_start,case_014_p3_n5_r02-full-20260923_0001_0362dc2b,problem2_validated_warm_start,results_round2/r02_problem3_warm_start/r02-full-20260923/schedules/case_014_p2_n5_r02-full-20260923_best_validated.json,89f61e1684d1d8d0f2a94cf54dc37a94d4c67cf83816665a2353bdf35584b426,63790912,0.2551308019027601,1,evaluated,5698636,current_fifo_cache_aware_list_g10,case_014_p3_n5_r02-full-20260923_0002_14f3557d,current_fifo_cache_aware_list_g10,,a8bbefbadaf7e1f85a351732466663e9bf1057d4ffab72c2b7d5450d3a175393,68526400,0.21816131250002055,2,0.9458125712862755,0.9945743373398687,0.8486213824253716,True,True
case_019,2,evaluated,79137,p3_original_history,case_019_n2_p3_original_r02-full-20260923,p3_original_history,results/schedules/case_019_p3_n2_best.json,91151b90949138190a514c0dd1735ccc5d3eae0c569fd2af9bc9bc1c96bbd2bb,0,0.0,,evaluated,41417,current_co_location_critical_list_g4,case_019_p2_n2_r02-full-20260923_0002_904412c8,current_co_location_critical_list_g4,,e6d79e6954aa07e33f45546f543ccfd0bd0527368f4f7a637d7ed4aea7dab294,28708,,3,evaluated,41417,problem2_validated_warm_start,case_019_p3_n2_r02-full-20260923_0001_b01d4293,problem2_validated_warm_start,results_round2/r02_problem3_warm_start/r02-full-20260923/schedules/case_019_p2_n2_r02-full-20260923_best_validated.json,e6d79e6954aa07e33f45546f543ccfd0bd0527368f4f7a637d7ed4aea7dab294,28708,0.0,1,evaluated,41417,problem2_validated_warm_start,case_019_p3_n2_r02-full-20260923_0001_649e8558,problem2_validated_warm_start,results_round2/r02_problem3_warm_start/r02-full-20260923/schedules/case_019_p2_n2_r02-full-20260923_best_validated.json,e6d79e6954aa07e33f45546f543ccfd0bd0527368f4f7a637d7ed4aea7dab294,28708,0.0,2,0.5233582268723859,1.0,1.0,True,True
case_019,4,evaluated,78089,p3_original_history,case_019_n4_p3_original_r02-full-20260923,p3_original_history,results/schedules/case_019_p3_n4_best.json,f54ac2c8b76c68dfa221655c4b147607c18109dcc4098a64a137e3dc2be0e545,0,0.0,,evaluated,26947,current_co_location_critical_list_g8,case_019_p2_n4_r02-full-20260923_0002_db6834bc,current_co_location_critical_list_g8,,ecad39df7f8b09b3c74d79c501f7e2a1285ba0a684a7c6d47040894179b02cdd,68136,,2,evaluated,26947,problem2_validated_warm_start,case_019_p3_n4_r02-full-20260923_0001_4bf150bc,problem2_validated_warm_start,results_round2/r02_problem3_warm_start/r02-full-20260923/schedules/case_019_p2_n4_r02-full-20260923_best_validated.json,ecad39df7f8b09b3c74d79c501f7e2a1285ba0a684a7c6d47040894179b02cdd,68136,0.10893230736498706,1,evaluated,26947,problem2_validated_warm_start,case_019_p3_n4_r02-full-20260923_0001_2697e34c,problem2_validated_warm_start,results_round2/r02_problem3_warm_start/r02-full-20260923/schedules/case_019_p2_n4_r02-full-20260923_best_validated.json,ecad39df7f8b09b3c74d79c501f7e2a1285ba0a684a7c6d47040894179b02cdd,68136,0.10893230736498706,2,0.34508061314653793,1.0,1.0,True,True
case_019,5,evaluated,71649,p3_original_history,case_019_n5_p3_original_r02-full-20260923,p3_original_history,results/schedules/case_019_p3_n5_best.json,0abbde4cb6879a39e5a65ba9506ec80aa54f4b634d7bbadcb9a11c0d5440a6e7,30724,0.0,,evaluated,26588,current_co_location_critical_list_g10,case_019_p2_n5_r02-full-20260923_0002_c1097d73,current_co_location_critical_list_g10,,a45d045906ce837eccfa21ba71927962e8f333e23d777825a44251edcf6a74d2,59432,,2,evaluated,26588,problem2_validated_warm_start,case_019_p3_n5_r02-full-20260923_0001_865d8baf,problem2_validated_warm_start,results_round2/r02_problem3_warm_start/r02-full-20260923/schedules/case_019_p2_n5_r02-full-20260923_best_validated.json,a45d045906ce837eccfa21ba71927962e8f333e23d777825a44251edcf6a74d2,59432,0.0,1,evaluated,26588,problem2_validated_warm_start,case_019_p3_n5_r02-full-20260923_0001_c8b18c83,problem2_validated_warm_start,results_round2/r02_problem3_warm_start/r02-full-20260923/schedules/case_019_p2_n5_r02-full-20260923_best_validated.json,a45d045906ce837eccfa21ba71927962e8f333e23d777825a44251edcf6a74d2,59432,0.0,2,0.3710868260547949,1.0,1.0,True,True
case_034,2,evaluated,638004,p3_original_history,case_034_n2_p3_original_r02-full-20260923,p3_original_history,results/schedules/case_034_p3_n2_best.json,22ea3e57ec596b29760f063c39312cb35514000956d5877991fd52992415dd02,679196,0.17251937473446724,,evaluated,419344,current_co_location_critical_list_g4,case_034_p2_n2_r02-full-20260923_0002_eea171b0,current_co_location_critical_list_g4,,ce2dc99b085ffd0c404764f84df69e85e3a582daab1dc028c6b391ff15829795,258200,,3,evaluated,419344,problem2_validated_warm_start,case_034_p3_n2_r02-full-20260923_0001_112c6827,problem2_validated_warm_start,results_round2/r02_problem3_warm_start/r02-full-20260923/schedules/case_034_p2_n2_r02-full-20260923_best_validated.json,ce2dc99b085ffd0c404764f84df69e85e3a582daab1dc028c6b391ff15829795,258200,0.07369133119359807,1,evaluated,419344,problem2_validated_warm_start,case_034_p3_n2_r02-full-20260923_0001_bffdf2b0,problem2_validated_warm_start,results_round2/r02_problem3_warm_start/r02-full-20260923/schedules/case_034_p2_n2_r02-full-20260923_best_validated.json,ce2dc99b085ffd0c404764f84df69e85e3a582daab1dc028c6b391ff15829795,258200,0.07369133119359807,2,0.6572748760195861,1.0,1.0,True,True
case_034,4,evaluated,525396,p3_original_history,case_034_n4_p3_original_r02-full-20260923,p3_original_history,results/schedules/case_034_p3_n4_best.json,d22f6011b7ecf3d2f5c5be99f11348574975ab6aa3f8f69783e10435d742e1b0,478476,0.09225451894804951,,evaluated,334276,current_co_location_critical_list_g8,case_034_p2_n4_r02-full-20260923_0002_ff12af4e,current_co_location_critical_list_g8,,599c7fa1487fe8aa0418925c86a17217445d8cf0c5741759897e61576b74d26f,1380764,,2,evaluated,333934,problem2_validated_warm_start,case_034_p3_n4_r02-full-20260923_0001_d16b01eb,problem2_validated_warm_start,results_round2/r02_problem3_warm_start/r02-full-20260923/schedules/case_034_p2_n4_r02-full-20260923_best_validated.json,599c7fa1487fe8aa0418925c86a17217445d8cf0c5741759897e61576b74d26f,1380764,0.1639708457805032,1,evaluated,319339,current_fifo_cache_aware_list_g8,case_034_p3_n4_r02-full-20260923_0002_24aed064,current_fifo_cache_aware_list_g8,,0843dcd91c09fe0afda4bbe3b2a12db9df6043a7f812817434baa2e5f6a396a4,1534860,0.13966963644436872,2,0.6355853489558352,0.9989768933456186,0.9562937586469182,True,True
case_034,5,evaluated,402601,p3_original_history,case_034_n5_p3_original_r02-full-20260923,p3_original_history,results/schedules/case_034_p3_n5_best.json,1b78dcc57ab2c9b6f3cd371b297d0882be8fd9600d5be27a2080ca2ada5eebb3,106316,0.013730222579780103,,evaluated,326605,current_co_location_critical_list_g10,case_034_p2_n5_r02-full-20260923_0002_766fa1ae,current_co_location_critical_list_g10,,20b58384f67c07cfd9d8ed8ffe2ba9ce48ae5a7df5918069e8ab26c5b9c60d37,1463196,,2,evaluated,326166,problem2_validated_warm_start,case_034_p3_n5_r02-full-20260923_0001_1b538c17,problem2_validated_warm_start,results_round2/r02_problem3_warm_start/r02-full-20260923/schedules/case_034_p2_n5_r02-full-20260923_best_validated.json,20b58384f67c07cfd9d8ed8ffe2ba9ce48ae5a7df5918069e8ab26c5b9c60d37,1463196,0.16412585033432095,1,evaluated,304036,current_fifo_cache_aware_list_g10,case_034_p3_n5_r02-full-20260923_0002_12bb699f,current_fifo_cache_aware_list_g10,,cdb9a0c6b5454e20f1b253eab0ad2e058f8e344ebe045b5ccf7ede52daa69e81,1329460,0.22553394319831419,2,0.8101470190088946,0.9986558687099095,0.9321511132368181,True,True
